"","x"
"kraken_549 Rhodanobacteraceae.g Ahniella",2
"kraken_566 Shewanellaceae.g Shewanella",1
"kraken_569 Shewanellaceae.g Parashewanella",2
"kraken_570 Alteromonadaceae.g Alteromonas",5
"kraken_574 Alteromonadaceae.g Catenovulum",2
"kraken_575 Alteromonadaceae.g Glaciecola",2
"kraken_576 Alteromonadaceae.g Paraglaciecola",5
"kraken_579 Alteromonadaceae.g Saliniradius",3
"kraken_580 Alteromonadaceae.g Paraneptunicella",2
"kraken_581 Pseudoalteromonadaceae.g Pseudoalteromonas",1
"kraken_588 Pseudoalteromonadaceae.g Psychrosphaera",2
"kraken_591 Colwelliaceae.g Colwellia",5
"kraken_593 Colwelliaceae.g Thalassotalea",5
"kraken_596 Colwelliaceae.g Cognaticolwellia",2
"kraken_602 Idiomarinaceae.g Idiomarina",5
"kraken_603 Ferrimonadaceae.g Ferrimonas",4
"kraken_624 Halomonadaceae.g Halotalea",4
"kraken_626 Oceanospirillaceae.g Marinomonas",5
"kraken_630 Oceanospirillaceae.g Neptunomonas",2
"kraken_631 Oceanospirillaceae.g Venatoribacter",4
"kraken_632 Oceanospirillaceae.g Thalassolituus",4
"kraken_634 Oceanospirillaceae.g Nitrincola",2
"kraken_636 Oceanospirillaceae.g Bacterioplanoides",2
"kraken_637 Alcanivoracaceae.g Alcanivorax",6
"kraken_638 Alcanivoracaceae.g Ketobacter",2
"kraken_639 Saccharospirillaceae.g Reinekea",3
"kraken_640 Saccharospirillaceae.g Saccharospirillum",2
"kraken_641 Saccharospirillaceae.g Gynuella",2
"kraken_642 Zooshikellaceae.g Spartinivicinus",2
"kraken_659 Vibrionaceae.g Vibrio",9
"kraken_673 Vibrionaceae.g Photobacterium",5
"kraken_675 Vibrionaceae.g Salinivibrio",2
"kraken_677 Vibrionaceae.g Paraphotobacterium",3
"kraken_678 Vibrionaceae.g Enterovibrio",3
"kraken_684 Aeromonadaceae.g Aeromonas",9
"kraken_687 Aeromonadaceae.g Dongshaea",2
"kraken_688 Aeromonadaceae.g Oceanisphaera",2
"kraken_689 Aeromonadaceae.g Zobellella",4
"kraken_694 Chromatiaceae.g Nitrosococcus",2
"kraken_696 Chromatiaceae.g Thiocystis",4
"kraken_697 Chromatiaceae.g Thiodictyon",4
"kraken_699 Chromatiaceae.g Thioflavicoccus",2
"kraken_700 Chromatiaceae.g Candidatus Nitrosoglobus",3
"kraken_703 Ectothiorhodospiraceae.g Spiribacter",4
"kraken_705 Ectothiorhodospiraceae.g Alkalilimnicola",2
"kraken_706 Ectothiorhodospiraceae.g Aquisalimonas",2
"kraken_707 Wenzhouxiangellaceae.g Wenzhouxiangella",4
"kraken_709 Granulosicoccaceae.g Granulosicoccus",2
"kraken_710 Granulosicoccaceae.g Sulfuriflexus",2
"kraken_711 Woeseiaceae.g Woeseia",2
"kraken_712 Thioalkalibacteraceae.g Guyparkeria",2
"kraken_716 Piscirickettsiaceae.g Thiomicrorhabdus",5
"kraken_717 Piscirickettsiaceae.g Piscirickettsia",3
"kraken_718 Piscirickettsiaceae.g Hydrogenovibrio",2
"kraken_720 Piscirickettsiaceae.g Methylophaga",2
"kraken_722 Piscirickettsiaceae.g Thiosulfatimonas",3
"kraken_730 Fastidiosibacteraceae.g Cysteiniphilum",3
"kraken_737 Methylococcaceae.g Methylococcus",6
"kraken_740 Methylococcaceae.g Methylovulum",2
"kraken_741 Methylococcaceae.g Methylocaldum",2
"kraken_743 Methylococcaceae.g Methylomicrobium",2
"kraken_744 Methylococcaceae.g Methylomagnum",2
"kraken_746 Legionellaceae.g Legionella",5
"kraken_759 Coxiellaceae.g Coxiella",2
"kraken_761 Cellvibrionaceae.g Marinagarivorans",2
"kraken_765 Microbulbiferaceae.g Microbulbifer",6
"kraken_771 Halieaceae.g Congregibacter",2
"kraken_772 Halieaceae.g Kineobactrum",4
"kraken_773 Halieaceae.g Aequoribacter",2
"kraken_774 Spongiibacteraceae.g Oceanicoccus",2
"kraken_775 Spongiibacteraceae.g Spongiibacter",2
"kraken_777 Coxiellaceae.g Candidatus Endoriftia",2
"kraken_778 Coxiellaceae.g Candidatus Vesicomyosocius",3
"kraken_780 Celerinatantimonadaceae.g Candidatus Thioglobus",3
"kraken_781 Celerinatantimonadaceae.g Sedimenticola",2
"kraken_782 Celerinatantimonadaceae.g Celerinatantimonas",2
"kraken_783 Celerinatantimonadaceae.g Candidatus Reidiella",2
"kraken_784 Cardiobacteriaceae.g Suttonella",2
"kraken_785 Cardiobacteriaceae.g Dichelobacter",3
"kraken_786 Ignatzschineriaceae.g Wohlfahrtiimonas",3
"kraken_788 Orbaceae.g Gilliamella",2
"kraken_789 Orbaceae.g Frischella",3
"kraken_790 Orbaceae.g Zophobihabitans",3
"kraken_791 Acidiferrobacteraceae.g Sulfurifustis",2
"kraken_794 Kangiellaceae.g Kangiella",2
"kraken_795 Sinobacteraceae.g Solimonas",4
"kraken_796 Sinobacteraceae.g Sinimarinibacterium",4
"kraken_797 Steroidobacteraceae.g Steroidobacter",2
"kraken_798 Salinisphaeraceae.g Salinisphaera",4
"kraken_800 Comamonadaceae.g Limnohabitans",6
"kraken_821 Comamonadaceae.g Acidovorax",8
"kraken_836 Comamonadaceae.g Variovorax",9
"kraken_838 Comamonadaceae.g Comamonas",9
"kraken_853 Comamonadaceae.g Delftia",9
"kraken_862 Comamonadaceae.g Rhodoferax",9
"kraken_873 Comamonadaceae.g Hydrogenophaga",9
"kraken_877 Comamonadaceae.g Diaphorobacter",9
"kraken_885 Comamonadaceae.g Ottowia",6
"kraken_887 Comamonadaceae.g Curvibacter",4
"kraken_888 Comamonadaceae.g Polaromonas",6
"kraken_892 Comamonadaceae.g Ramlibacter",6
"kraken_893 Comamonadaceae.g Alicycliphilus",6
"kraken_894 Comamonadaceae.g Verminephrobacter",6
"kraken_895 Comamonadaceae.g Kinneretia",6
"kraken_898 Comamonadaceae.g Melaminivora",6
"kraken_899 Comamonadaceae.g Simplicispira",6
"kraken_900 Comamonadaceae.g Pulveribacter",6
"kraken_901 Comamonadaceae.g Candidatus Symbiobacter",2
"kraken_902 Comamonadaceae.g Hylemonella",6
"kraken_903 Burkholderiaceae.g Polynucleobacter",6
"kraken_939 Burkholderiaceae.g Burkholderia",9
"kraken_958 Burkholderiaceae.g Paraburkholderia",9
"kraken_985 Burkholderiaceae.g Cupriavidus",9
"kraken_989 Burkholderiaceae.g Ralstonia",9
"kraken_993 Burkholderiaceae.g Pandoraea",9
"kraken_1001 Burkholderiaceae.g Caballeronia",6
"kraken_1002 Burkholderiaceae.g Lautropia",4
"kraken_1003 Burkholderiaceae.g Chitinimonas",6
"kraken_1009 Oxalobacteraceae.g Janthinobacterium",9
"kraken_1016 Oxalobacteraceae.g Collimonas",6
"kraken_1020 Oxalobacteraceae.g Massilia",8
"kraken_1029 Oxalobacteraceae.g Pseudoduganella",9
"kraken_1030 Oxalobacteraceae.g Duganella",6
"kraken_1033 Oxalobacteraceae.g Herbaspirillum",9
"kraken_1037 Oxalobacteraceae.g Rugamonas",6
"kraken_1039 Oxalobacteraceae.g Telluria",6
"kraken_1040 Oxalobacteraceae.g Herminiimonas",4
"kraken_1041 Oxalobacteraceae.g Glaciimonas",4
"kraken_1042 Oxalobacteraceae.g Noviherbaspirillum",6
"kraken_1043 Alcaligenaceae.g Achromobacter",9
"kraken_1052 Alcaligenaceae.g Bordetella",9
"kraken_1057 Alcaligenaceae.g Oligella",4
"kraken_1058 Alcaligenaceae.g Alcaligenes",6
"kraken_1061 Alcaligenaceae.g Pusillimonas",6
"kraken_1062 Alcaligenaceae.g Pelistega",2
"kraken_1063 Alcaligenaceae.g Advenella",6
"kraken_1065 Alcaligenaceae.g Basilea",3
"kraken_1067 Alcaligenaceae.g Pigmentiphaga",6
"kraken_1069 Alcaligenaceae.g Paenalcaligenes",2
"kraken_1070 Alcaligenaceae.g Taylorella",2
"kraken_1071 Alcaligenaceae.g Kerstersia",4
"kraken_1072 Alcaligenaceae.g Castellaniella",4
"kraken_1075 Sphaerotilaceae.g Caldimonas",6
"kraken_1076 Sphaerotilaceae.g Methylibium",6
"kraken_1078 Sphaerotilaceae.g Rubrivivax",6
"kraken_1079 Sphaerotilaceae.g Sphaerotilus",6
"kraken_1081 Sphaerotilaceae.g Roseateles",6
"kraken_1083 Sphaerotilaceae.g Piscinibacter",6
"kraken_1084 Sphaerotilaceae.g Aquincola",6
"kraken_1085 Sphaerotilaceae.g Leptothrix",6
"kraken_1086 Sphaerotilaceae.g Ideonella",4
"kraken_1087 Sphaerotilaceae.g Mitsuaria",6
"kraken_1088 Sphaerotilaceae.g Inhella",4
"kraken_1090 Sphaerotilaceae.g Rhizobacter",6
"kraken_1092 Sphaerotilaceae.g Aquabacterium",6
"kraken_1093 Sphaerotilaceae.g Paucibacter",6
"kraken_1095 Sphaerotilaceae.g Xylophilus",6
"kraken_1096 Sphaerotilaceae.g Tepidimonas",4
"kraken_1097 Neisseriaceae.g Neisseria",6
"kraken_1112 Neisseriaceae.g Wielerella",2
"kraken_1113 Neisseriaceae.g Alysiella",4
"kraken_1115 Neisseriaceae.g Kingella",4
"kraken_1118 Neisseriaceae.g Simonsiella",2
"kraken_1119 Neisseriaceae.g Paralysiella",2
"kraken_1120 Neisseriaceae.g Uruburuella",4
"kraken_1122 Neisseriaceae.g Conchiformibius",3
"kraken_1123 Neisseriaceae.g Crenobacter",4
"kraken_1124 Neisseriaceae.g Aquella",3
"kraken_1126 Chromobacteriaceae.g Chromobacterium",6
"kraken_1132 Chromobacteriaceae.g Aquitalea",6
"kraken_1136 Chromobacteriaceae.g Aquaspirillum",4
"kraken_1138 Chromobacteriaceae.g Chitinibacter",2
"kraken_1139 Chromobacteriaceae.g Silvimonas",2
"kraken_1140 Chromobacteriaceae.g Deefgea",2
"kraken_1143 Chromobacteriaceae.g Laribacter",4
"kraken_1145 Chromobacteriaceae.g Chitiniphilus",4
"kraken_1148 Methylophilaceae.g Methylotenera",2
"kraken_1149 Methylophilaceae.g Methylophilus",2
"kraken_1152 Methylophilaceae.g Methylobacillus",3
"kraken_1155 Sulfuricellaceae.g Sulfuricella",2
"kraken_1156 Sulfuricellaceae.g Sulfurimicrobium",4
"kraken_1157 Gallionellaceae.g Candidatus Nitrotoga",2
"kraken_1159 Gallionellaceae.g Gallionella",2
"kraken_1160 Gallionellaceae.g Sideroxydans",2
"kraken_1161 Sterolibacteriaceae.g Methyloversatilis",4
"kraken_1162 Sterolibacteriaceae.g Sterolibacterium",2
"kraken_1163 Sterolibacteriaceae.g Denitratisoma",4
"kraken_1164 Nitrosomonadaceae.g Nitrosospira",2
"kraken_1167 Thiobacillaceae.g Sulfuritortus",2
"kraken_1168 Zoogloeaceae.g Thauera",6
"kraken_1172 Zoogloeaceae.g Azoarcus",6
"kraken_1173 Zoogloeaceae.g Nitrogeniibacter",4
"kraken_1174 Zoogloeaceae.g Pseudothauera",2
"kraken_1175 Fluviibacteraceae.g Fluviibacter",2
"kraken_1178 Rhodocyclaceae.g Azospira",6
"kraken_1180 Azonexaceae.g Dechloromonas",6
"kraken_1206 Nitrobacteraceae.g Bradyrhizobium",9
"kraken_1217 Nitrobacteraceae.g Rhodopseudomonas",6
"kraken_1221 Nitrobacteraceae.g Tardiphaga",4
"kraken_1222 Nitrobacteraceae.g Variibacter",2
"kraken_1231 Rhizobiaceae.g Rhizobium",9
"kraken_1240 Rhizobiaceae.g Agrobacterium",9
"kraken_1245 Rhizobiaceae.g Pseudorhizobium",4
"kraken_1250 Rhizobiaceae.g Sinorhizobium",9
"kraken_1252 Rhizobiaceae.g Ensifer",6
"kraken_1253 Rhizobiaceae.g Shinella",6
"kraken_1258 Rhizobiaceae.g Liberibacter",2
"kraken_1278 Phyllobacteriaceae.g Phyllobacterium",6
