"","x"
"kraken_2059 Intrasporangiaceae.g Intrasporangium",4
"kraken_2060 Intrasporangiaceae.g Phycicoccus",7
"kraken_2062 Intrasporangiaceae.g Pedococcus",4
"kraken_2063 Intrasporangiaceae.g Arsenicicoccus",4
"kraken_2064 Brevibacteriaceae.g Brevibacterium",7
"kraken_2076 Dermabacteraceae.g Brachybacterium",7
"kraken_2082 Dermabacteraceae.g Dermabacter",4
"kraken_2083 Promicromonosporaceae.g Cellulosimicrobium",7
"kraken_2089 Promicromonosporaceae.g Isoptericola",7
"kraken_2093 Bogoriellaceae.g Georgenia",7
"kraken_2094 Dermatophilaceae.g Dermatophilus",2
"kraken_2095 Dermatophilaceae.g Austwickia",2
"kraken_2096 Dermacoccaceae.g Dermacoccus",7
"kraken_2097 Dermacoccaceae.g Yimella",4
"kraken_2098 Kytococcaceae.g Kytococcus",4
"kraken_2102 Beutenbergiaceae.g Beutenbergia",4
"kraken_2103 Beutenbergiaceae.g Miniimonas",4
"kraken_2104 Demequinaceae.g Demequina",4
"kraken_2105 Dermacoccaceae.g Luteimicrobium",4
"kraken_2106 Propionibacteriaceae.g Cutibacterium",9
"kraken_2110 Propionibacteriaceae.g Tessaracoccus",7
"kraken_2118 Propionibacteriaceae.g Propioniciclava",7
"kraken_2120 Propionibacteriaceae.g Acidipropionibacterium",7
"kraken_2124 Propionibacteriaceae.g Arachnia",4
"kraken_2125 Propionibacteriaceae.g Auraticoccus",4
"kraken_2126 Propionibacteriaceae.g Microlunatus",7
"kraken_2160 Nocardioidaceae.g Aeromicrobium",7
"kraken_2168 Nocardioidaceae.g Pimelobacter",7
"kraken_2169 Nocardioidaceae.g Friedmanniella",4
"kraken_2170 Nocardioidaceae.g Marmoricola",4
"kraken_2171 Nocardioidaceae.g Micropruina",4
"kraken_2172 Nocardioidaceae.g Solicola",4
"kraken_2304 Streptomycetaceae.g Kitasatospora",7
"kraken_2308 Streptomycetaceae.g Streptantibioticus",4
"kraken_2310 Streptomycetaceae.g Streptacidiphilus",7
"kraken_2311 Streptomycetaceae.g Peterkaempfera",4
"kraken_2312 Streptomycetaceae.g Yinghuangia",4
"kraken_2313 Streptomycetaceae.g Actinacidiphila",4
"kraken_2314 Candidatus Nanopelagicaceae.g Candidatus Planktophila",4
"kraken_2322 Pseudonocardiaceae.g Amycolatopsis",9
"kraken_2341 Pseudonocardiaceae.g Saccharothrix",7
"kraken_2344 Pseudonocardiaceae.g Pseudonocardia",9
"kraken_2349 Pseudonocardiaceae.g Saccharopolyspora",7
"kraken_2352 Pseudonocardiaceae.g Kutzneria",7
"kraken_2357 Pseudonocardiaceae.g Kibdelosporangium",4
"kraken_2358 Pseudonocardiaceae.g Crossiella",4
"kraken_2360 Pseudonocardiaceae.g Lentzea",7
"kraken_2361 Pseudonocardiaceae.g Alloactinosynnema",4
"kraken_2362 Pseudonocardiaceae.g Actinoalloteichus",4
"kraken_2363 Pseudonocardiaceae.g Allokutzneria",4
"kraken_2391 Micromonosporaceae.g Actinoplanes",9
"kraken_2398 Micromonosporaceae.g Dactylosporangium",7
"kraken_2400 Micromonosporaceae.g Catellatospora",4
"kraken_2401 Micromonosporaceae.g Couchioplanes",4
"kraken_2402 Micromonosporaceae.g Plantactinospora",4
"kraken_2404 Micromonosporaceae.g Natronosporangium",4
"kraken_2405 Micromonosporaceae.g Solwaraspora",4
"kraken_2407 Thermomonosporaceae.g Actinomadura",7
"kraken_2413 Thermomonosporaceae.g Thermomonospora",4
"kraken_2417 Nocardiopsaceae.g Streptomonospora",7
"kraken_2419 Nocardiopsaceae.g Thermobifida",7
"kraken_2421 Streptosporangiaceae.g Nonomuraea",7
"kraken_2425 Streptosporangiaceae.g Streptosporangium",7
"kraken_2427 Streptosporangiaceae.g Thermobispora",4
"kraken_2428 Actinomycetaceae.g Flaviflexus",7
"kraken_2435 Actinomycetaceae.g Actinomyces",7
"kraken_2441 Actinomycetaceae.g Schaalia",7
"kraken_2442 Actinomycetaceae.g Trueperella",7
"kraken_2446 Actinomycetaceae.g Winkia",2
"kraken_2447 Geodermatophilaceae.g Geodermatophilus",4
"kraken_2449 Geodermatophilaceae.g Modestobacter",7
"kraken_2451 Geodermatophilaceae.g Blastococcus",7
"kraken_2462 Frankiaceae.g Frankia",7
"kraken_2463 Frankiaceae.g Pseudofrankia",4
"kraken_2464 Jiangellaceae.g Jiangella",7
"kraken_2465 Glycomycetaceae.g Stackebrandtia",4
"kraken_2466 Glycomycetaceae.g Natronoglycomyces",2
"kraken_2467 Catenulisporaceae.g Catenulispora",4
"kraken_2468 Kineosporiaceae.g Kineococcus",4
"kraken_2469 Sporichthyaceae.g Epidermidibacterium",4
"kraken_2470 Jatrophihabitantaceae.g Jatrophihabitans",7
"kraken_2472 Atopobiaceae.g Olsenella",4
"kraken_2473 Atopobiaceae.g Thermophilibacter",2
"kraken_2474 Atopobiaceae.g Parafannyhessea",2
"kraken_2475 Atopobiaceae.g Atopobium",2
"kraken_2476 Coriobacteriaceae.g Coriobacterium",3
"kraken_2477 Coriobacteriaceae.g Collinsella",4
"kraken_2478 Eggerthellaceae.g Eggerthella",4
"kraken_2480 Eggerthellaceae.g Arabiibacter",2
"kraken_2481 Eggerthellaceae.g Berryella",2
"kraken_2483 Eggerthellaceae.g Adlercreutzia",2
"kraken_2484 Eggerthellaceae.g Phoenicibacter",3
"kraken_2485 Iamiaceae.g Aquihabitans",7
"kraken_2487 Iamiaceae.g Iamia",4
"kraken_2489 Iamiaceae.g Actinomarinicola",4
"kraken_2490 Ilumatobacteraceae.g Ilumatobacter",4
"kraken_2492 Baekduiaceae.g Baekduia",4
"kraken_2493 Rubrobacteraceae.g Rubrobacter",4
"kraken_2495 Paraconexibacteraceae.g Paraconexibacter",4
"kraken_2498 Euzebyaceae.g Euzebya",4
"kraken_2499 Egibacteraceae.g Egibacter",4
"kraken_2500 Bacillaceae.g Bacillus",1
"kraken_2522 Bacillaceae.g Lysinibacillus",5
"kraken_2535 Bacillaceae.g Neobacillus",5
"kraken_2540 Bacillaceae.g Virgibacillus",5
"kraken_2541 Bacillaceae.g Priestia",5
"kraken_2545 Bacillaceae.g Geobacillus",2
"kraken_2548 Bacillaceae.g Weizmannia",2
"kraken_2549 Bacillaceae.g Rossellomorea",2
"kraken_2551 Bacillaceae.g Niallia",5
"kraken_2554 Bacillaceae.g Cytobacillus",5
"kraken_2559 Bacillaceae.g Alkalihalobacillus",2
"kraken_2561 Bacillaceae.g Salicibibacter",2
"kraken_2563 Bacillaceae.g Peribacillus",5
"kraken_2565 Bacillaceae.g Heyndrickxia",2
"kraken_2566 Bacillaceae.g Caldalkalibacillus",2
"kraken_2567 Bacillaceae.g Siminovitchia",2
"kraken_2569 Bacillaceae.g Lentibacillus",2
"kraken_2571 Bacillaceae.g Anoxybacillus",4
"kraken_2574 Bacillaceae.g Mangrovibacillus",2
"kraken_2575 Bacillaceae.g Sutcliffiella",2
"kraken_2577 Bacillaceae.g Mesobacillus",4
"kraken_2580 Bacillaceae.g Fervidibacillus",2
"kraken_2583 Bacillaceae.g Halobacillus",5
"kraken_2584 Bacillaceae.g Anaerobacillus",2
"kraken_2585 Bacillaceae.g Gottfriedia",2
"kraken_2586 Bacillaceae.g Amphibacillus",2
"kraken_2587 Bacillaceae.g Paenalkalicoccus",3
"kraken_2588 Bacillaceae.g Pseudalkalibacillus",3
"kraken_2589 Bacillaceae.g Halalkalibacter",2
"kraken_2593 Bacillaceae.g Psychrobacillus",2
"kraken_2606 Staphylococcaceae.g Staphylococcus",1
"kraken_2618 Staphylococcaceae.g Jeotgalicoccus",4
"kraken_2621 Staphylococcaceae.g Mammaliicoccus",5
"kraken_2624 Staphylococcaceae.g Salinicoccus",3
"kraken_2626 Staphylococcaceae.g Abyssicoccus",3
"kraken_2629 Planococcaceae.g Solibacillus",4
"kraken_2641 Planococcaceae.g Sporosarcina",5
"kraken_2643 Planococcaceae.g Kurthia",2
"kraken_2644 Planococcaceae.g Jeotgalibacillus",2
"kraken_2645 Planococcaceae.g Ureibacillus",2
"kraken_2668 Paenibacillaceae.g Brevibacillus",6
"kraken_2671 Thermoactinomycetaceae.g Novibacillus",2
"kraken_2672 Thermoactinomycetaceae.g Thermoactinomyces",3
"kraken_2673 Thermoactinomycetaceae.g Staphylospora",3
"kraken_2674 Listeriaceae.g Listeria",5
"kraken_2678 Listeriaceae.g Brochothrix",2
"kraken_2681 Alicyclobacillaceae.g Alicyclobacillus",4
"kraken_2683 Staphylococcaceae.g Gemella",2
"kraken_2688 Staphylococcaceae.g Exiguobacterium",4
"kraken_2708 Streptococcaceae.g Streptococcus",1
"kraken_2738 Carnobacteriaceae.g Jeotgalibaca",7
"kraken_2744 Carnobacteriaceae.g Granulicatella",2
"kraken_2746 Carnobacteriaceae.g Carnobacterium",5
"kraken_2749 Carnobacteriaceae.g Dolosigranulum",2
"kraken_2750 Carnobacteriaceae.g Desemzia",2
"kraken_2754 Lactobacillaceae.g Ligilactobacillus",5
"kraken_2762 Lactobacillaceae.g Lactobacillus",5
"kraken_2763 Lactobacillaceae.g Leuconostoc",2
"kraken_2766 Lactobacillaceae.g Companilactobacillus",5
"kraken_2769 Lactobacillaceae.g Pediococcus",2
"kraken_2772 Lactobacillaceae.g Limosilactobacillus",4
"kraken_2778 Lactobacillaceae.g Liquorilactobacillus",2
"kraken_2781 Lactobacillaceae.g Oenococcus",2
"kraken_2783 Lactobacillaceae.g Acetilactobacillus",3
"kraken_2786 Lactobacillaceae.g Periweissella",3
"kraken_2787 Enterococcaceae.g Vagococcus",5
"kraken_2802 Enterococcaceae.g Enterococcus",5
"kraken_2804 Enterococcaceae.g Melissococcus",2
"kraken_2805 Aerococcaceae.g Aerococcus",4
"kraken_2808 Aerococcaceae.g Globicatella",2
"kraken_2809 Aerococcaceae.g Abiotrophia",3
"kraken_2810 Aerococcaceae.g Ignavigranum",3
"kraken_2811 Aerococcaceae.g Suicoccus",2
"kraken_2813 Lachnospiraceae.g Anaerocolumna",5
"kraken_2820 Lachnospiraceae.g Anaerostipes",2
"kraken_2822 Lachnospiraceae.g Enterocloster",4
"kraken_2825 Lachnospiraceae.g Butyrivibrio",4
"kraken_2829 Lachnospiraceae.g Lachnoclostridium",4
"kraken_2831 Lachnospiraceae.g Novisyntrophococcus",2
"kraken_2832 Lachnospiraceae.g Simiaoa",2
"kraken_2833 Lachnospiraceae.g Lacrimispora",2
"kraken_2836 Lachnospiraceae.g Wujia",3
"kraken_2837 Lachnospiraceae.g Dorea",2
"kraken_2838 Lachnospiraceae.g Pseudobutyrivibrio",2
"kraken_2839 Lachnospiraceae.g Coprococcus",2
"kraken_2840 Lachnospiraceae.g Qiania",2
"kraken_2841 Lachnospiraceae.g Wansuia",2
"kraken_2842 Lachnospiraceae.g Anaeromicropila",2
"kraken_2843 Lachnospiraceae.g Chordicoccus",2
"kraken_2844 Lachnospiraceae.g Anaerobutyricum",2
"kraken_2845 Lachnospiraceae.g Marvinbryantia",2
"kraken_2846 Lachnospiraceae.g Roseburia",2
"kraken_2847 Clostridiaceae.g Clostridium",1
"kraken_2868 Clostridiaceae.g Caloramator",2
"kraken_2872 Clostridiaceae.g Proteiniclasticum",2
"kraken_2873 Clostridiaceae.g Paraclostridium",2
"kraken_2874 Oscillospiraceae.g Faecalibacterium",4
"kraken_2877 Oscillospiraceae.g Acutalibacter",2
"kraken_2878 Oscillospiraceae.g Ruminococcus",4
"kraken_2880 Oscillospiraceae.g Caproicibacter",3
"kraken_2881 Oscillospiraceae.g Oscillibacter",2
"kraken_2882 Oscillospiraceae.g Pusillibacter",2
"kraken_2883 Oscillospiraceae.g Caproicibacterium",2
"kraken_2885 Oscillospiraceae.g Vescimonas",2
"kraken_2887 Oscillospiraceae.g Pseudoclostridium",2
"kraken_2888 Oscillospiraceae.g Dysosmobacter",2
"kraken_2889 Oscillospiraceae.g Caproiciproducens",2
"kraken_2890 Oscillospiraceae.g Flavonifractor",4
"kraken_2891 Oscillospiraceae.g Ethanoligenens",2
"kraken_2892 Oscillospiraceae.g Anaerotruncus",2
"kraken_2893 Oscillospiraceae.g Acetivibrio",2
"kraken_2896 Peptostreptococcaceae.g Romboutsia",4
"kraken_2897 Peptostreptococcaceae.g Clostridioides",5
"kraken_2898 Peptostreptococcaceae.g Tepidibacter",2
"kraken_2899 Peptostreptococcaceae.g Terrisporobacter",2
"kraken_2900 Peptostreptococcaceae.g Paeniclostridium",2
"kraken_2901 Peptostreptococcaceae.g Peptacetobacter",2
"kraken_2902 Peptostreptococcaceae.g Acetoanaerobium",2
"kraken_2903 Eubacteriales Family XIII. Incertae Sedis.g Flintibacter",2
"kraken_2905 Clostridiales Family XVII. Incertae Sedis.g Thermaerobacter",4
"kraken_2906 Clostridiales Family XVI. Incertae Sedis.g Massilistercora",2
"kraken_2907 Clostridiales Family XVI. Incertae Sedis.g Carboxydocella",3
"kraken_2908 Clostridiales Family XVI. Incertae Sedis.g Intestinimonas",2
"kraken_2909 Eubacteriales Family XIII. Incertae Sedis.g Fenollaria",2
"kraken_2911 Eubacteriaceae.g Acetobacterium",2
"kraken_2912 Eubacteriaceae.g Alkalibacter",3
"kraken_2913 Eubacteriaceae.g Eubacterium",4
"kraken_2914 Desulfitobacteriaceae.g Desulfitobacterium",2
"kraken_2916 Desulfitobacteriaceae.g Desulfosporosinus",5
"kraken_2917 Desulfitobacteriaceae.g Syntrophobotulus",3
"kraken_2918 Heliobacteriaceae.g Heliomicrobium",3
"kraken_2919 Christensenellaceae.g Christensenella",2
"kraken_2920 Syntrophomonadaceae.g Syntrophomonas",3
"kraken_2921 Proteinivoraceae.g Alkalicella",3
"kraken_2922 Vallitaleaceae.g Petrocella",2
"kraken_2923 Desulfallaceae.g Desulfoscipio",2
"kraken_2925 Thermoanaerobacteraceae.g Ammonifex",3
"kraken_2926 Thermoanaerobacteraceae.g Carboxydothermus",3
"kraken_2931 Veillonellaceae.g Veillonella",2
"kraken_2933 Veillonellaceae.g Dialister",2
"kraken_2935 Sporomusaceae.g Sporomusa",3
"kraken_2936 Sporomusaceae.g Pelosinus",2
"kraken_2937 Sporomusaceae.g Methylomusa",2
"kraken_2938 Selenomonadaceae.g Pectinatus",3
"kraken_2941 Acidaminococcaceae.g Acidaminococcus",2
"kraken_2945 Erysipelotrichaceae.g Erysipelothrix",4
"kraken_2946 Erysipelotrichaceae.g Faecalitalea",2
"kraken_2947 Erysipelotrichaceae.g Bulleidia",2
"kraken_2948 Erysipelotrichaceae.g Faecalibacillus",2
"kraken_2950 Coprobacillaceae.g Thomasclavelia",2
"kraken_2952 Peptoniphilaceae.g Miniphocaeibacter",2
"kraken_2953 Peptoniphilaceae.g Finegoldia",2
"kraken_2955 Thermohalobacteraceae.g Sedimentibacter",2
"kraken_2956 Limnochordaceae.g Ndongobacter",2
"kraken_2957 Mycoplasmataceae.g Mesomycoplasma",7
"kraken_2963 Mycoplasmataceae.g Mycoplasmopsis",5
"kraken_2970 Mycoplasmataceae.g Mycoplasma",5
"kraken_2974 Mycoplasmataceae.g Ureaplasma",3
"kraken_2976 Acholeplasmataceae.g Acholeplasma",4
"kraken_2978 Acholeplasmataceae.g Mariniplasma",2
"kraken_2979 Acholeplasmataceae.g Haploplasma",2
"kraken_2980 Acholeplasmataceae.g Paracholeplasma",2
"kraken_2981 Acholeplasmataceae.g Alteracholeplasma",2
"kraken_2986 Entomoplasmataceae.g Mesoplasma",2
"kraken_2987 Entomoplasmataceae.g Williamsoniiplasma",3
"kraken_2997 Nostocaceae.g Anabaena",2
"kraken_2999 Calotrichaceae.g Calothrix",5
"kraken_3002 Aphanizomenonaceae.g Sphaerospermopsis",2
"kraken_3009 Prochlorococcaceae.g Prochlorococcus",5
"kraken_3012 Prochlorococcaceae.g Parasynechococcus",3
"kraken_3013 Merismopediaceae.g Synechocystis",3
"kraken_3014 Aphanothecaceae.g Halothece",3
"kraken_3015 Aphanothecaceae.g Euhalothece",3
"kraken_3016 Aphanothecaceae.g Crocosphaera",2
"kraken_3017 Aphanothecaceae.g Gloeothece",2
"kraken_3018 Microcystaceae.g Microcystis",2
"kraken_3019 Chroococcaceae.g Geminocystis",2
"kraken_3020 Microcoleaceae.g Oxynema",2
"kraken_3021 Coleofasciculaceae.g Geitlerinema",3
"kraken_3022 Oscillatoriaceae.g Moorena",2
"kraken_3025 Leptolyngbyaceae.g Leptothermofonsia",3
"kraken_3028 Dermocarpellaceae.g Stanieria",2
"kraken_3029 Deinococcaceae.g Deinococcus",9
"kraken_3043 Thermaceae.g Oceanithermus",2
"kraken_3044 Anaerolineaceae.g Anaerolinea",3
"kraken_3045 Dehalococcoidaceae.g Dehalococcoides",3
"kraken_3047 Tepidiformaceae.g Tepidiforma",4
"kraken_3048 Tepidiformaceae.g Candidatus Promineifilum",2
"kraken_3049 Sphaerobacteraceae.g Sphaerobacter",2
"kraken_3063 Flavobacteriaceae.g Flavobacterium",8
"kraken_3153 Flavobacteriaceae.g Lacinutrix",1
"kraken_3156 Flavobacteriaceae.g Aquimarina",1
"kraken_3162 Flavobacteriaceae.g Maribacter",1
"kraken_3163 Flavobacteriaceae.g Cellulophaga",1
"kraken_3168 Flavobacteriaceae.g Myroides",1
"kraken_3169 Flavobacteriaceae.g Zunongwangia",1
"kraken_3171 Flavobacteriaceae.g Sabulilitoribacter",5
"kraken_3172 Flavobacteriaceae.g Changchengzhania",5
"kraken_3173 Flavobacteriaceae.g Zhouia",5
"kraken_3174 Flavobacteriaceae.g Marixanthomonas",5
"kraken_3177 Flavobacteriaceae.g Constantimarinum",5
"kraken_3178 Flavobacteriaceae.g Olleya",1
"kraken_3180 Flavobacteriaceae.g Aequorivita",1
"kraken_3182 Flavobacteriaceae.g Algibacter",5
"kraken_3183 Flavobacteriaceae.g Zobellia",5
"kraken_3187 Flavobacteriaceae.g Urechidicola",5
"kraken_3189 Flavobacteriaceae.g Mariniflexile",5
"kraken_3190 Flavobacteriaceae.g Aureibaculum",5
"kraken_3191 Flavobacteriaceae.g Muriicola",5
"kraken_3192 Flavobacteriaceae.g Imtechella",5
"kraken_3193 Flavobacteriaceae.g Oceanihabitans",5
"kraken_3194 Flavobacteriaceae.g Flavivirga",5
"kraken_3195 Flavobacteriaceae.g Euzebyella",5
"kraken_3197 Flavobacteriaceae.g Seonamhaeicola",5
"kraken_3198 Flavobacteriaceae.g Galbibacter",5
"kraken_3199 Flavobacteriaceae.g Croceibacter",5
"kraken_3201 Flavobacteriaceae.g Christiangramia",1
"kraken_3202 Flavobacteriaceae.g Gillisia",5
"kraken_3203 Flavobacteriaceae.g Robiginitalea",2
"kraken_3204 Weeksellaceae.g Chryseobacterium",8
"kraken_3230 Weeksellaceae.g Kaistella",8
"kraken_3238 Weeksellaceae.g Epilithonimonas",1
"kraken_3247 Weeksellaceae.g Riemerella",1
"kraken_3248 Weeksellaceae.g Weeksella",5
"kraken_3249 Weeksellaceae.g Apibacter",5
"kraken_3250 Weeksellaceae.g Faecalibacter",1
"kraken_3251 Blattabacteriaceae.g Blattabacterium",1
"kraken_3254 Crocinitomicaceae.g Fluviicola",5
"kraken_3255 Crocinitomicaceae.g Paracrocinitomix",5
"kraken_3256 Ichthyobacteriaceae.g Ichthyobacterium",2
"kraken_3257 Cytophagaceae.g Aquirufa",5
"kraken_3260 Cytophagaceae.g Spirosoma",1
"kraken_3261 Cytophagaceae.g Tellurirhabdus",2
"kraken_3272 Hymenobacteraceae.g Adhaeribacter",5
"kraken_3273 Spirosomaceae.g Dyadobacter",1
"kraken_3277 Spirosomaceae.g Runella",5
"kraken_3279 Spirosomaceae.g Emticicia",5
"kraken_3280 Spirosomaceae.g Fibrella",5
"kraken_3281 Cyclobacteriaceae.g Echinicola",1
"kraken_3286 Cyclobacteriaceae.g Cyclobacterium",5
"kraken_3288 Cyclobacteriaceae.g Aquiflexum",5
"kraken_3289 Bernardetiaceae.g Bernardetia",5
"kraken_3290 Flammeovirgaceae.g Flammeovirga",5
"kraken_3294 Fulvivirgaceae.g Fulvivirga",5
"kraken_3296 Fulvivirgaceae.g Chryseolinea",5
"kraken_3297 Mangrovivirgaceae.g Mangrovivirga",5
"kraken_3313 Prevotellaceae.g Prevotella",1
"kraken_3317 Dysgonomonadaceae.g Proteiniphilum",5
"kraken_3319 Dysgonomonadaceae.g Dysgonomonas",2
"kraken_3320 Dysgonomonadaceae.g Petrimonas",2
"kraken_3325 Porphyromonadaceae.g Microbacter",4
"kraken_3334 Tenuifilaceae.g Candidatus Azobacteroides",2
"kraken_3335 Salinivirgaceae.g Salinivirga",5
"kraken_3336 Muribaculaceae.g Duncaniella",2
"kraken_3337 Paludibacteraceae.g Paludibacter",5
"kraken_3338 Tenuifilaceae.g Tenuifilum",2
"kraken_3339 Marinilabiliaceae.g Alkalitalea",5
"kraken_3340 Prolixibacteraceae.g Draconibacterium",5
"kraken_3341 Prolixibacteraceae.g Maribellus",5
"kraken_3344 Sphingobacteriaceae.g Sphingobacterium",8
"kraken_3365 Sphingobacteriaceae.g Olivibacter",1
"kraken_3371 Chitinophagaceae.g Chitinophaga",1
"kraken_3373 Chitinophagaceae.g Arachidicoccus",1
"kraken_3377 Chitinophagaceae.g Sediminibacterium",5
"kraken_3378 Chitinophagaceae.g Lacibacter",5
"kraken_3379 Chitinophagaceae.g Phnomibacter",5
"kraken_3380 Chitinophagaceae.g Flavihumibacter",5
"kraken_3381 Chitinophagaceae.g Niastella",5
"kraken_3384 Chitinophagaceae.g Panacibacter",5
"kraken_3385 Chitinophagaceae.g Paraflavitalea",5
"kraken_3386 Saprospiraceae.g Saprospira",2
"kraken_3387 Saprospiraceae.g Aureispira",5
"kraken_3388 Rhodothermaceae.g Rhodothermus",2
"kraken_3389 Rhodothermaceae.g Rhodocaloribacter",2
"kraken_3390 Chloroherpetonaceae.g Chloroherpeton",2
"kraken_3392 Ignavibacteriaceae.g Ignavibacterium",2
"kraken_3393 Gemmatimonadaceae.g Gemmatimonas",4
"kraken_3395 Gemmatimonadaceae.g Gemmatirosa",4
"kraken_3396 Fibrobacteraceae.g Fibrobacter",2
"kraken_3397 Gemmataceae.g Urbifossiella",4
"kraken_3399 Gemmataceae.g Gemmata",4
"kraken_3400 Gemmataceae.g Limnoglobus",4
"kraken_3401 Gemmataceae.g Tuwongella",2
"kraken_3402 Gemmataceae.g Frigoriglobus",4
"kraken_3404 Planctomycetaceae.g Planctomyces",4
"kraken_3405 Planctomycetaceae.g Maioricimonas",2
"kraken_3406 Planctomycetaceae.g Planctopirus",2
"kraken_3408 Planctomycetaceae.g Alienimonas",2
"kraken_3410 Planctomycetaceae.g Caulifigura",2
"kraken_3411 Planctomycetaceae.g Symmachiella",2
"kraken_3412 Planctomycetaceae.g Polystyrenella",3
"kraken_3413 Pirellulaceae.g Stieleria",4
"kraken_3416 Pirellulaceae.g Pirellula",2
"kraken_3418 Pirellulaceae.g Rosistilla",2
"kraken_3419 Pirellulaceae.g Blastopirellula",2
"kraken_3420 Pirellulaceae.g Roseimaritima",2
"kraken_3421 Pirellulaceae.g Bremerella",2
"kraken_3422 Pirellulaceae.g Anatilimnocola",2
"kraken_3423 Lacipirellulaceae.g Lacipirellula",4
"kraken_3425 Lacipirellulaceae.g Pirellulimonas",2
"kraken_3426 Lacipirellulaceae.g Adhaeretor",2
"kraken_3427 Isosphaeraceae.g Aquisphaera",4
"kraken_3428 Isosphaeraceae.g Isosphaera",3
"kraken_3429 Isosphaeraceae.g Singulisphaera",2
"kraken_3430 Phycisphaeraceae.g Mucisphaera",2
"kraken_3431 Tepidisphaeraceae.g Humisphaera",4
"kraken_3432 Sedimentisphaeraceae.g Limihaloglobus",3
"kraken_3435 Verrucomicrobiaceae.g Luteolibacter",4
"kraken_3436 Verrucomicrobiaceae.g Sulfuriroseicoccus",3
"kraken_3437 Verrucomicrobiaceae.g Roseimicrobium",2
"kraken_3438 Akkermansiaceae.g Akkermansia",2
"kraken_3441 Opitutaceae.g Nibricoccus",2
"kraken_3442 Opitutaceae.g Horticoccus",2
"kraken_3443 Opitutaceae.g Lacunisphaera",2
"kraken_3445 Rhabdochlamydiaceae.g Candidatus Rhabdochlamydia",3
"kraken_3447 Parachlamydiaceae.g Parachlamydia",3
"kraken_3450 Kiritimatiellaceae.g Kiritimatiella",3
"kraken_3451 Lentisphaeraceae.g Lentisphaera",3
"kraken_3453 Arcobacteraceae.g Aliarcobacter",5
"kraken_3469 Campylobacteraceae.g Campylobacter",1
"kraken_3472 Helicobacteraceae.g Helicobacter",5
"kraken_3480 Sulfurospirillaceae.g Sulfurospirillum",2
"kraken_3486 Nautiliaceae.g Caminibacter",2
"kraken_3487 Nautiliaceae.g Nautilia",2
"kraken_3489 Polyangiaceae.g Sorangium",7
"kraken_3490 Polyangiaceae.g Polyangium",4
"kraken_3491 Polyangiaceae.g Chondromyces",4
"kraken_3492 Sandaracinaceae.g Sandaracinus",6
"kraken_3493 Labilitrichaceae.g Labilithrix",4
"kraken_3494 Nannocystaceae.g Nannocystis",4
"kraken_3495 Kofleriaceae.g Haliangium",4
"kraken_3500 Archangiaceae.g Archangium",7
"kraken_3502 Archangiaceae.g Stigmatella",4
"kraken_3503 Archangiaceae.g Cystobacter",4
"kraken_3504 Archangiaceae.g Melittangium",4
"kraken_3507 Vulgatibacteraceae.g Vulgatibacter",2
"kraken_3508 Desulfovibrionaceae.g Desulfovibrio",4
"kraken_3514 Desulfovibrionaceae.g Maridesulfovibrio",2
"kraken_3515 Desulfovibrionaceae.g Megalodesulfovibrio",2
"kraken_3516 Desulfovibrionaceae.g Salidesulfovibrio",2
"kraken_3519 Desulfocapsaceae.g Desulfosediminicola",2
"kraken_3521 Desulfobulbaceae.g Desulfobulbus",2
"kraken_3523 Geobacteraceae.g Geobacter",4
"kraken_3526 Geobacteraceae.g Geotalea",4
"kraken_3528 Geobacteraceae.g Citrifermentans",2
"kraken_3529 Desulfuromonadaceae.g Desulfuromonas",4
"kraken_3531 Desulfococcaceae.g Desulfonema",2
"kraken_3532 Desulfosarcinaceae.g Desulfosarcina",4
"kraken_3534 Desulfolunaceae.g Desulfoluna",2
"kraken_3535 Candidatus Desulfofervidaceae.g Candidatus Desulfofervidus",3
"kraken_3536 Desulfomonilaceae.g Desulfomonile",3
"kraken_3537 Fusobacteriaceae.g Fusobacterium",1
"kraken_3543 Fusobacteriaceae.g Ilyobacter",3
"kraken_3544 Fusobacteriaceae.g Cetobacterium",2
"kraken_3549 Leptospiraceae.g Leptospira",5
"kraken_3550 Leptospiraceae.g Turneriella",2
"kraken_3551 Spirochaetaceae.g Spirochaeta",2
"kraken_3552 Spirochaetaceae.g Entomospira",3
"kraken_3554 Brachyspiraceae.g Brachyspira",5
"kraken_3555 Thermospiraceae.g Thermospira",3
"kraken_3556 Acidobacteriaceae.g Candidatus Koribacter",2
"kraken_3557 Acidobacteriaceae.g Terriglobus",4
"kraken_3559 Acidobacteriaceae.g Acidisarcina",3
"kraken_3560 Acidobacteriaceae.g Occallatibacter",2
"kraken_3561 Acidobacteriaceae.g Alloacidobacterium",2
"kraken_3562 Acanthopleuribacteraceae.g Sulfidibacter",4
"kraken_3564 Vicinamibacteraceae.g Luteitalea",4
"kraken_3565 Candidatus Saccharimonadaceae.g Candidatus Mycosynbacter",2
"kraken_3567 Candidatus Saccharimonadaceae.g Candidatus Saccharimonas",2
"kraken_3568 Candidatus Babeliaceae.g Candidatus Babela",3
"kraken_3569 Candidatus Saccharimonadaceae.g Candidatus Bipolaricaulis",3
"kraken_3572 Nitrospiraceae.g Leptospirillum",3
"kraken_3573 Dissulfurispiraceae.g Dissulfurispira",3
"kraken_3574 Aminithiophilaceae.g Aminithiophilus",3
"kraken_3575 Synergistaceae.g Cloacibacillus",2
